station,parameter,value
US-Bar,a_dis,NaN
US-Bar,pow_dis,NaN
US-Bar,fpr,1
US-Bar,SvF,1
US-Bar,SN,0
US-Bar,Slo_top,0
US-Bar,Ared,1
US-Bar,aR,1
US-Bar,cellsize,1
US-Bar,Kbot,NaN
US-Bar,Krock,NaN
US-Bar,zatm,24.5
US-Bar,Cwat,0
US-Bar,Cbare,0
US-Bar,Psan_Zs,"[0.58791, 0.58791, 0.58791, 0.63492, 0.63492, 0.65525, 0.65525, 0.70035, 0.70035, 0.70035, 0.81942, 0.81942, 0.81942, 0.8847, 0.8847, 0.8847, 0.8847]"
US-Bar,Pcla_Zs,"[0.05392, 0.05392, 0.05392, 0.03674, 0.03674, 0.03338, 0.03338, 0.02827, 0.02827, 0.02827, 0.01571, 0.01571, 0.01571, 0.01487, 0.01487, 0.01487, 0.01487]"
US-Bar,Porg_Zs,"[0.08, 0.08, 0.08, 0.04159, 0.04159, 0.01923, 0.01923, 0.00983, 0.00983, 0.00983, 0.00285, 0.00285, 0.00285, 0.00121, 0.00121, 0.00121, 0.00121]"
US-Bar,Color_Class,0
US-Bar,SPAR,2
US-Bar,Kfc,0.2
US-Bar,Phy,10000
US-Bar,Oice,0
US-Bar,Zs,[0 10 20 50 100 150 200 300 400 500 600 700 800 1000 1250 1500 1750 2000]
US-Bar,Zdes,10
US-Bar,Zinf,10
US-Bar,Zbio,250
US-Bar,In_max_urb,5
US-Bar,In_max_rock,0.1
US-Bar,TminS,-0.8
US-Bar,TmaxS,2.8
US-Bar,ros_max1,550
US-Bar,ros_max2,260
US-Bar,Th_Pr_sno,10.0
US-Bar,Ice_wc_sp,0.01
US-Bar,ros_Ice_thr,500
US-Bar,Aice,0.35
US-Bar,WatFreez_Th,-8
US-Bar,dz_ice,0.54
US-Bar,ExEM,1.0
US-Bar,CASE_ROOT,1
US-Bar,ZR95_H,[1100]
US-Bar,ZR95_L,[0]
US-Bar,ZR50_H,NaN
US-Bar,ZR50_L,NaN
US-Bar,ZRmax_H,NaN
US-Bar,ZRmax_L,NaN
US-Bar,Kct,0.75
US-Bar,gcI,3.7
US-Bar,KcI,0.06
US-Bar,Sp_SN_In,5.9
US-Bar,Sp_LAI_L_In,[0.2]
US-Bar,Sp_LAI_H_In,[0.1]
US-Bar,d_leaf_H,[7]
US-Bar,d_leaf_L,[0.8]
US-Bar,KnitH,[0.4]
US-Bar,KnitL,0.0
US-Bar,mSl_H,0.0
US-Bar,mSl_L,0.0
US-Bar,FI_H,[0.081]
US-Bar,Do_H,[600]
US-Bar,a1_H,[6]
US-Bar,go_H,[0.01]
US-Bar,CT_H,[3]
US-Bar,DSE_H,[0.649]
US-Bar,Ha_H,[72]
US-Bar,gmes_H,[Inf]
US-Bar,rjv_H,[2.1]
US-Bar,FI_L,[0.081]
US-Bar,Do_L,[2000]
US-Bar,a1_L,[7]
US-Bar,go_L,[0.01]
US-Bar,CT_L,[3]
US-Bar,DSE_L,[0.660]
US-Bar,Ha_L,[48]
US-Bar,gmes_L,[Inf]
US-Bar,rjv_L,[2.6]
US-Bar,Psi_sto_00_H,[-0.7]
US-Bar,Psi_sto_50_H,[-2.5]
US-Bar,PsiL00_H,[0.4]
US-Bar,PsiL50_H,[-6.5]
US-Bar,Kleaf_max_H,10
US-Bar,Cl_H,1200
US-Bar,Axyl_H,15.0
US-Bar,Kx_max_H,80000
US-Bar,PsiX50_H,[-9]
US-Bar,Cx_H,150
US-Bar,Psi_sto_00_L,-0.8
US-Bar,Psi_sto_50_L,-3.0
US-Bar,PsiL00_L,-1.1
US-Bar,PsiL50_L,-4.0
US-Bar,Kleaf_max_L,5
US-Bar,Cl_L,1200
US-Bar,Axyl_L,0.0
US-Bar,Kx_max_L,80000
US-Bar,PsiX50_L,-4.5
US-Bar,Cx_L,150
US-Bar,PsiG50_H,[-0.7]
US-Bar,PsiG99_H,[-6.5]
US-Bar,gcoef_H,3.5
US-Bar,PsiG50_L,-1.45
US-Bar,PsiG99_L,-4.0
US-Bar,gcoef_L,3.5
US-Bar,OM_H,1
US-Bar,OM_L,1
US-Bar,Sllit,2
US-Bar,Sl_H,[0.0264994]
US-Bar,Nl_H,[35]
US-Bar,r_H,[0.02]
US-Bar,gR_H,[0.22]
US-Bar,aSE_H,[1]
US-Bar,dd_max_H,[1/365]
US-Bar,dc_C_H,[0.0274]
US-Bar,Tcold_H,[5]
US-Bar,drn_H,[0.0020]
US-Bar,dsn_H,[0.0027]
US-Bar,age_cr_H,[110]
US-Bar,Bfac_lo_H,[0.9]
US-Bar,Bfac_ls_H,[NaN]
US-Bar,Tlo_H,[4.0]
US-Bar,PAR_th_H,[NaN]
US-Bar,dmg_H,[30]
US-Bar,LAI_min_H,[0.001]
US-Bar,Trr_H,[3.0]
US-Bar,mjDay_H,[230]
US-Bar,LDay_min_H,[11.5]
US-Bar,LtR_H,[1.5]
US-Bar,Mf_H,[0.0125]
US-Bar,Wm_H,[0]
US-Bar,eps_ac_H,[0.3]
US-Bar,LDay_cr_H,[12.0]
US-Bar,Klf_H,[0.025]
US-Bar,fab_H,[0.74]
US-Bar,fbe_H,[0.26]
US-Bar,ff_r_H,[0.1]
US-Bar,Sl_L,[0.028]
US-Bar,Nl_L,[23]
US-Bar,r_L,[0.055]
US-Bar,gR_L,[0.25]
US-Bar,aSE_L,[2]
US-Bar,dd_max_L,[1/360]
US-Bar,dc_C_L,[7/365]
US-Bar,Tcold_L,[0.0]
US-Bar,drn_L,[1/570]
US-Bar,dsn_L,[ 1/365]
US-Bar,age_cr_L,[180]
US-Bar,Bfac_lo_L,[0.99]
US-Bar,Bfac_ls_L,[NaN]
US-Bar,Tlo_L,[6.0]
US-Bar,Tls_L,[NaN]
US-Bar,PAR_th_L,[NaN]
US-Bar,dmg_L,[25]
US-Bar,LAI_min_L,[0.1]
US-Bar,Trr_L,[4.0]
US-Bar,mjDay_L,[220]
US-Bar,LDay_min_L,[NaN]
US-Bar,LtR_L,[0.8]
US-Bar,Mf_L,[NaN]
US-Bar,Wm_L,[NaN]
US-Bar,eps_ac_L,[0.5]
US-Bar,LDay_cr_L,[11.5]
US-Bar,Klf_L,[NaN]
US-Bar,fab_L,NaN
US-Bar,fbe_L,NaN
US-Bar,ff_r_L,[NaN]
US-Bar,Vmax_H,[50]
US-Bar,Vmax_L,[0]
US-Bar,LAI_H,[0.0]
US-Bar,B_H,[0 327 262 350 0 0 0 0]
US-Bar,Rrootl_H,[4200]
US-Bar,PHE_S_H,[1]
US-Bar,dflo_H,[0]
US-Bar,AgeL_H,[0]
US-Bar,e_rel_H,[1]
US-Bar,hc_H,[19]
US-Bar,SAI_H,[0.1]
US-Bar,LAI_L,[0.0]
US-Bar,B_L,[0 0 0 0 0 0 0 0]
US-Bar,Rrootl_L,[0]
US-Bar,PHE_S_L,[1]
US-Bar,dflo_L,[0]
US-Bar,AgeL_L,[0]
US-Bar,e_rel_L,[1]
US-Bar,hc_L,[0.0]
US-Bar,SAI_L,[0.0]
US-Bar,BLit,0.0
US-Bar,Nreserve_H,[1000]
US-Bar,Preserve_H,[100]
US-Bar,Kreserve_H,[1000]
US-Bar,FNC_H,1
US-Bar,NupI_H,[0 0 0]
US-Bar,Nreserve_L,[1]
US-Bar,Preserve_L,[1]
US-Bar,Kreserve_L,[1]
US-Bar,FNC_L,1
US-Bar,NupI_L,[0 0 0]
US-Bar,RexmyI,[0 0 0]
US-Bar,TBio_L,0
US-Bar,TBio_H,300
US-Bar,Vx_H,10
US-Bar,Vl_H,10
US-Bar,Vx_L,10
US-Bar,Vl_L,10
US-Bar,SWE,0
US-Bar,SND,0
US-Bar,TdpI_H,2
US-Bar,TdpI_L,2
US-Bar,In_L,0
US-Bar,In_urb,0
US-Bar,In_Litter,0
US-Bar,SP_wc,0
US-Bar,In_SWE,0
US-Bar,ros,0
US-Bar,t_sls,0
US-Bar,e_sno,0.97
US-Bar,tau_sno,0
