station,af_name,af_igbp,elev_m
AR-Bal,Balcarce BA,CRO,130
AR-CCa,Carlos Casares agriculture,CRO,83
AR-CCg,Carlos Casares grassland,GRA,84
AR-Cel,CELPA Mar Chiquita BA,WET,1
AR-Rom,Romano Mar Chiquita BA,WET,1
AR-TF1,Rio Moat bog,WET,40
AR-TF2,Rio Pipo bog,WET,60
BR-BNT,BIONTE,EBF,116
BR-Cax,"CAX, FLONA Caxiuanã micromet tower",EBF,48.4
BR-CMT,Capuaba farm Mato Grosso,CRO,427
BR-CST,Caatinga Serra Talhada,DNF,468
BR-Cui,Micrometeorological studies project in Amazonian mangroves,WET,21
BR-CUP,Cupari Tapajos National Forest,DBF,15
BR-IAB,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,WSA,763
BR-ITA,MataFLUX: Multi-species tree restoration planting,EBF,820
BR-Ji1,Fazenda Nossa Senhora (FNS),GRA,260
BR-Ji3,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),EBF,160
BR-Ma2,Manaus - ZF2 K34,EBF,130
BR-Ma3,"ZF3, Colosso farm",CVM,147
BR-Moj,"Moju/PA, Commercial oil palm plantation",CVM,26
BR-Npw,Northern Pantanal Wetland,WSA,120
BR-PRS,Paraíso do Sul,CRO,
BR-Sa1,Santarem-Km67-Primary Forest,EBF,88
BR-Sa3,Santarem-Km83-Logged Forest,EBF,100
BR-SGC,"São Gabriel da Cachoeira (Balaio Indigenous Reserve, Pico da Neblina National Park)",EBF,100
BR-SM1,Cachoeira do Sul Rice Paddy,CRO,40.5
BR-SM2,Pedras Altas Grassland,GRA,395
BR-SM3,Santa Maria Grassland,CRO,88
BR-SP1,Southern Pantanal Wetland,WSA,90
BR-Xpw,XomanoFlux,GRA,124
CA-AF1,Acadia Research Forest,MF,78
CA-ARB,Attawapiskat River Bog,WET,90
CA-ARF,Attawapiskat River Fen,WET,88
CA-BCW,Big Creek Watershed,WET,201
CA-BOU,Bouleau Peatland,WET,108
CA-BSM,Black Spruce Moss Forest,ENF,271
CA-Ca1,British Columbia - 1949 Douglas-fir stand,ENF,300
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),ENF,300
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,ENF,
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",DBF,210
