variable,value,units,description,category,layer,active_at_US_xRM,typical_range_fatichi2012,source,source_confidence,notes
aSE_H,0,-,"Plant type / phenology switch: 0 evergreen, 1 seasonal (deciduous), 2 grass, 3 crop",phenology,H,yes,,MOD_PARAM_US_xRM.m code comment,code_comment,Defines the site as evergreen; the single most important switch when reusing this set.
CT_H,3,-,"Photosynthetic pathway: 3 = C3, 4 = C4",photosynthesis,H,yes,,Farquhar et al. (1980); Collatz et al. (1991),formulation_origin,C3 for all conifers and temperate broadleaf trees.
FI_H,0.081,umolCO2/umolPhotons,Intrinsic quantum efficiency of photosynthesis,photosynthesis,H,yes,epsilon: 0.040-0.090,Fatichi et al. (2012a) JAMES 4 M05002,tc_model_description,
Do_H,700,Pa,Vapour-pressure-deficit sensitivity parameter of stomatal conductance,photosynthesis,H,yes,D0: 700-3000 Pa,Leuning (1995) Plant Cell Environ 18:339-355,formulation_origin,Lower than the Low-vegetation value (2000 Pa): conifers close stomata at lower VPD.
a1_H,5,-,Empirical slope relating stomatal conductance to assimilation,photosynthesis,H,yes,a: 3-18,Leuning (1995),formulation_origin,Code notes an alternative value of 9; 5 is conservative (water-saving).
go_H,0.01,mol/(s m^2),Minimum (cuticular) stomatal conductance,photosynthesis,H,yes,"g0,CO2: 0.005-0.04",Leuning (1995),formulation_origin,
DSE_H,0.649,kJ/(mol K),Entropy factor in the Vmax/Jmax temperature response,photosynthesis,H,yes,DeltaS: 0.625-0.665 kJ/(mol K),"Fatichi et al. (2012a) Table 3; underlying Kattge & Knorr (2007) Plant Cell Environ 30:1176-1190",tc_model_description,"RESOLVED: the code comment mislabels this as 'Activation Energy [kJ/mol]'. Table 3 lists DeltaS (entropy factor) as 0.625-0.665 kJ/(mol K) and 0.649 sits inside it, so the VALUE is correct and only the comment is wrong. Names/units are swapped with Ha_H in the source file."
Ha_H,89,kJ/mol,Activation energy in the Vmax/Jmax temperature response,photosynthesis,H,yes,Ha: 40-95 kJ/mol,"Fatichi et al. (2012a) Table 3; underlying Kattge & Knorr (2007)",tc_model_description,"RESOLVED: the code comment mislabels this as 'entropy factor [kJ/mol K]'. Table 3 lists Ha (activation energy) as 40-95 kJ/mol and 89 sits inside it. Value correct, comment wrong - swapped with DSE_H."
gmes_H,Inf,mol CO2/(s m^2),Mesophyll conductance; Inf disables mesophyll limitation,photosynthesis,H,yes,,Fatichi et al. (2012a),tc_model_description,Infinite = CO2 drawdown from intercellular space to chloroplast neglected.
rjv_H,1.8,umol electrons/umolCO2,Ratio scaling Jmax to Vmax,photosynthesis,H,yes,rjv: 1.5-2.5,Fatichi et al. (2012a),tc_model_description,
Vmax_H,32,umolCO2/(m^2 s),Maximum Rubisco carboxylation capacity at 25 degC,photosynthesis,H,yes,VLmax: 10-150,Fatichi et al. (2012a); typical NET values in Kattge et al. (2009),needs_verification,"Set DIRECTLY here - the Maximum_Rubisco_Capacity(Sl,PLNR,Nl) call is commented out. This is why dynamic LMA does NOT propagate to photosynthetic capacity (CLAUDE.md 1-2)."
KnitH,0.35,-,Canopy nitrogen decay coefficient with cumulative LAI,photosynthesis,H,yes,KN: 0.15-0.5,Fatichi et al. (2012a),tc_model_description,Code retains an alternative commented value of 0.5.
Nl_H,62,kgC/kgN,Leaf carbon-to-nitrogen ratio,stoichiometry,H,yes,Nl: 15-42 gC/gN,"White et al. (2000) BIOME-BGC: evergreen needleleaf leaf C:N = 59.6",tc_model_description,"EXPLAINED: 62 is outside Table 3's 15-42, but that range does not span conifers. White et al. (2000) - the source Fatichi cites for PFT physiology - gives leaf C:N of 59.6 for evergreen needleleaf vs 19.8 for deciduous broadleaf, so 62 is essentially the standard ENF value. Use ~20-30 for a deciduous set, NOT this."
mSl_H,0.0,m^2 PFT/gC,Linear increase of specific leaf area with LAI,vegetation_structure,H,yes,-: not tabulated,MOD_PARAM_US_xRM.m,code_comment,Zero = SLA constant through the canopy.
Psi_sto_00_H,-0.8,MPa,Water potential at incipient (2%) stomatal conductance loss,plant_hydraulics,H,yes,Psi_ss: -0.03 to -1.0 MPa,Fatichi et al. (2012a),tc_model_description,
Psi_sto_50_H,-2.5,MPa,Water potential at 50% stomatal conductance loss,plant_hydraulics,H,yes,Psi_wp: -1.0 to -10.0 MPa,Fatichi et al. (2012a),tc_model_description,
PsiL00_H,-1.0,MPa,Leaf water potential at incipient (2%) conductivity loss,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
PsiL50_H,-3.2,MPa,Leaf water potential at 50% conductivity loss,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
Kleaf_max_H,10,mmolH2O/(m^2 leaf s MPa),Maximum leaf hydraulic conductance,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
Cl_H,1200,mmolH2O/(m^2 leaf MPa),Leaf hydraulic capacitance,plant_hydraulics,H,yes,,MOD_PARAM_US_xRM.m,code_comment,Code notes a plausible range of 500-3000.
Axyl_H,15.0,cm^2 stem/m^2 PFT,Xylem (sapwood) cross-sectional area per unit ground area,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,Scales with stand basal area; check for very young or very dense stands.
Kx_max_H,80000,mmolH2O/(m s MPa),Maximum xylem specific hydraulic conductivity,plant_hydraulics,H,yes,,MOD_PARAM_US_xRM.m,code_comment,Code notes a range of 5550-555550.
PsiX50_H,-5.0,MPa,Xylem water potential at 50% conductivity loss (P50),plant_hydraulics,H,yes,,Fatichi et al. (2012a); species P50 compendium in Choat et al. (2012),needs_verification,-5.0 MPa is a drought-resistant conifer value; consider revising for mesic eastern conifers.
Cx_H,150,kg/(m^3 sapwood MPa),Xylem (sapwood) hydraulic capacitance,plant_hydraulics,H,yes,,Fatichi et al. (2012a),tc_model_description,
PsiG50_H,-0.8,MPa,Water potential at 50% reduction of growth/expansion,growth,H,yes,,Fatichi et al. (2012a),tc_model_description,
PsiG99_H,-2.5,MPa,Water potential at 99% reduction of growth/expansion,growth,H,yes,,Fatichi et al. (2012a),tc_model_description,
gcoef_H,3.5,gC/(m^2 day),Maximum growth (expansion) coefficient,growth,H,yes,,Fatichi et al. (2012a),tc_model_description,
r_H,0.055,gC/(gN d),Maintenance respiration rate at 10 degC per unit nitrogen,carbon_turnover,H,yes,rm: 0.020-0.066,Code comment: Bonan (2003),code_comment,Code notes a range of 0.011-0.066.
gR_H,0.25,-,"Growth respiration fraction, Rg/(GPP-Rm)",carbon_turnover,H,yes,omega_grw: 0.15-0.30,MOD_PARAM_US_xRM.m,code_comment,Code notes a range of 0.22-0.28.
dd_max_H,0.005,1/d,Maximum drought-induced mortality rate (1/200),carbon_turnover,H,yes,dd_max: 1/600-1/30 = 0.0017-0.033,MOD_PARAM_US_xRM.m,code_comment,Code notes a range of 0.005-0.025.
dc_C_H,0.21370,1/(d degC),Factor of increasing cold-induced mortality (78/365),carbon_turnover,H,yes,d_cold: 1/365-1/15 = 0.0027-0.067,Fatichi et al. (2012a),needs_verification,"OUT OF PUBLISHED RANGE: 78/365 = 0.214 vs Table 3's 1/365-1/15 (0.0027-0.067), ~3x the upper bound. Largely moot at US_xRM because Tcold_H = -50 degC never triggers cold shedding, but it WOULD bite in a deciduous set where Tcold is active. Check before reuse."
Tcold_H,-50,degC,Temperature threshold for cold-induced leaf shedding,phenology,H,yes,Tcold: -12 to +10 degC,MOD_PARAM_US_xRM.m,code_comment,"Outside Table 3's -12 to +10 degC range DELIBERATELY: -50 degC is an off-switch, not a physical threshold, disabling cold shedding for an evergreen. A deciduous set must bring this back inside the published range."
drn_H,0.00125,1/d,Fine-root turnover rate (1/800),carbon_turnover,H,yes,d_root: 1/1500-1/240 = 0.00067-0.0042,Fatichi et al. (2012a),tc_model_description,
dsn_H,0.0016667,1/d,Normal sapwood-to-heartwood transfer rate (1/600),carbon_turnover,H,yes,d_sapw: 1/2500-1/365 = 0.0004-0.0027,Fatichi et al. (2012a),tc_model_description,
age_cr_H,1220,day,Critical leaf age (needle longevity),phenology,H,yes,Acr: 50-1500 day,Fatichi et al. (2012a),tc_model_description,~3.3 yr needle retention - a defining evergreen trait. Revisit per species (Pinus vs Picea vs Tsuga differ).
Bfac_lo_H,0.99,-,Soil-water stress threshold for leaf onset,phenology,H,yes,beta_LO: 0.7-1,Fatichi et al. (2012a),tc_model_description,
