station_id,variable,proposed_value,units,description,category,basis,source,confidence,notes
US-HBK,Lat,43.9397,degrees N,Site latitude (true tower coordinate),site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Hubbard Brook Experimental Forest | IGBP DBF | northern hardwood: Fagus grandifolia, Acer saccharum, Betula alleghaniensis | Koppen Dfb, MAT 6 degC, MAP 1400 mm"
US-HBK,Lon,-71.7181,degrees E,Site longitude (true tower coordinate),site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Hubbard Brook Experimental Forest | IGBP DBF | northern hardwood: Fagus grandifolia, Acer saccharum, Betula alleghaniensis | Koppen Dfb, MAT 6 degC, MAP 1400 mm"
US-HBK,Zbas,367,m a.s.l.,Site elevation for the radiation partition,site,AmeriFlux registry (verified),"AmeriFlux site registry (site_display API, retrieved 2026-08-05)",verified,"Hubbard Brook Experimental Forest | IGBP DBF | northern hardwood: Fagus grandifolia, Acer saccharum, Betula alleghaniensis | Koppen Dfb, MAT 6 degC, MAP 1400 mm"
US-HBK,Slo_top,TBD (>0.05),fraction dy/dx,Topographic slope at the surface,domain_geometry,"MEASURED AT SITE - BADM GRP_SITE_CHAR: TERRAIN = 'Significant Slope (>5%)', ASPECT = N","AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",needs_verification,"NOT FLAT, unlike US_xRM and US-Ha2. A north-facing slope >5% changes incoming shortwave and the sky-view factor, and enables lateral subsurface flow. Get the actual slope/aspect from a DEM and set Slo_top, SvF and Asur accordingly, or state the flat-plot assumption as a limitation."
US-HBK,SITE_SNOW_COVER_DAYS,120,days/yr,Reported mean annual days with snow cover (validation target),snow_physics,MEASURED AT SITE - BADM GRP_SITE_CHAR: SITE_SNOW_COVER_DAYS = 120,"AmeriFlux BADM (AMF_<site>_BIF, downloaded 2026-08-05)",verified,"Not a T&C input - an independent check on the simulated snow season, which matters because snow interception and sublimation are strongly canopy-dependent."
US-HBK,aSE_H,1,-,"Plant type / phenology switch: 0 evergreen, 1 seasonal (deciduous), 2 grass, 3 crop",phenology,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (0),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),code_comment,Defines the site as evergreen; the single most important switch when reusing this set.
US-HBK,CT_H,3,-,"Photosynthetic pathway: 3 = C3, 4 = C4",photosynthesis,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),formulation_origin,C3 for all conifers and temperate broadleaf trees.
US-HBK,FI_H,0.081,umolCO2/umolPhotons,Intrinsic quantum efficiency of photosynthesis,photosynthesis,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,
US-HBK,Do_H,1000,Pa,Vapour-pressure-deficit sensitivity parameter of stomatal conductance,photosynthesis,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (700),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),formulation_origin,Lower than the Low-vegetation value (2000 Pa): conifers close stomata at lower VPD.
US-HBK,a1_H,7,-,Empirical slope relating stomatal conductance to assimilation,photosynthesis,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (5),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),formulation_origin,Code notes an alternative value of 9; 5 is conservative (water-saving).
US-HBK,go_H,0.01,mol/(s m^2),Minimum (cuticular) stomatal conductance,photosynthesis,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),formulation_origin,
US-HBK,DSE_H,0.649,kJ/(mol K),Entropy factor in the Vmax/Jmax temperature response,photosynthesis,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,"RESOLVED: the code comment mislabels this as 'Activation Energy [kJ/mol]'. Table 3 lists DeltaS (entropy factor) as 0.625-0.665 kJ/(mol K) and 0.649 sits inside it, so the VALUE is correct and only the comment is wrong. Names/units are swapped with Ha_H in the source file."
US-HBK,Ha_H,72,kJ/mol,Activation energy in the Vmax/Jmax temperature response,photosynthesis,deciduous broadleaf (Zurich High-layer block) -- DIFFERS from US_xRM (89),MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,"RESOLVED: the code comment mislabels this as 'entropy factor [kJ/mol K]'. Table 3 lists Ha (activation energy) as 40-95 kJ/mol and 89 sits inside it. Value correct, comment wrong - swapped with DSE_H."
US-HBK,gmes_H,Inf,mol CO2/(s m^2),Mesophyll conductance; Inf disables mesophyll limitation,photosynthesis,deciduous broadleaf (Zurich High-layer block); identical in both reference files,MOD_PARAM_ZURICH_SMA.m (T&C v1.5 release; High-layer deciduous broadleaf block),tc_model_description,Infinite = CO2 drawdown from intercellular space to chloroplast neglected.
