job        : 35712
node       : soeepyc08
started    : 2026-08-09T06:51:29Z
model_run  : /vol_efthymios/NFS07/dd1136/T_and_C/model_run
template   : /vol_efthymios/NFS07/dd1136/T_and_C/T_and_C_dynamic_LMA/T&C/Thanos_US_xRM
meteo      : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/meteo

root      : /vol_efthymios/NFS07/dd1136/T_and_C/model_run
template  : /vol_efthymios/NFS07/dd1136/T_and_C/T_and_C_dynamic_LMA/T&C/Thanos_US_xRM
stations  : 101 (17 excluded)
soil      : 101 sites, 101 profiles
canopy    : 117 (GEDI window median 73, AmeriFlux BADM HEIGHTC 44)
ZR95      : 117   EC heights: 511
meteo dir : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/meteo

==================================================================
READY: 98/101 stations have every input
==================================================================
  ! US-HB2   missing: meteo .mat
  ! US-HB3   missing: meteo .mat
  ! US-Vcm   missing: canopy height

  US-Bar   written  ms=17 Kbot=NaN ZR95=1100 zatm=24.5
  US-Blk   written  ms=16 Kbot=0.01 ZR95=900 zatm=24
  US-CPF   written  ms=16 Kbot=NaN ZR95=1100 zatm=4.3
  US-CPk   written  ms=10 Kbot=0.01 ZR95=530 zatm=22
  US-CRK   written  ms=18 Kbot=NaN ZR95=1500 zatm=44
  US-CS2   written  ms=17 Kbot=NaN ZR95=1000 zatm=31
  US-CZ2   written  ms=16 Kbot=0.01 ZR95=1680 zatm=22
  US-CZ3   written  ms=13 Kbot=0.01 ZR95=970 zatm=30
  US-CZ4   written  ms=16 Kbot=NaN ZR95=1700 zatm=27
  US-ChR   written  ms=17 Kbot=NaN ZR95=1200 zatm=43
  US-Cst   written  ms=17 Kbot=NaN ZR95=1300 zatm=37
  US-Cwt   written  ms=18 Kbot=NaN ZR95=1100 zatm=43.5
  US-DPP   written  ms=18 Kbot=NaN ZR95=1500 zatm=15
  US-Dk2   written  ms=18 Kbot=0.01 ZR95=1200 zatm=39.8
  US-Dk3   written  ms=18 Kbot=NaN ZR95=1200 zatm=20.2
  US-Fmf   written  ms=16 Kbot=NaN ZR95=1700 zatm=23
  US-Fuf   written  ms=16 Kbot=NaN ZR95=1700 zatm=23
  US-GBT   written  ms=12 Kbot=0.01 ZR95=740 zatm=30.2
  US-GLE   written  ms=12 Kbot=0.01 ZR95=740 zatm=30.2
  US-HBK   written  ms=17 Kbot=NaN ZR95=1000 zatm=30
  US-Ha1   written  ms=16 Kbot=NaN ZR95=1100 zatm=29
  US-Ha2   written  ms=16 Kbot=NaN ZR95=1100 zatm=35
  US-Ho1   written  ms=16 Kbot=NaN ZR95=900 zatm=31
  US-Ho2   written  ms=16 Kbot=NaN ZR95=900 zatm=28.3
