job        : 37226
node       : soeepyc06
started    : 2026-08-14T16:14:19Z
stations   : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_stations
co2        : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/co2
output     : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_meteo
precip     : block

args       : --dry-run --all
stations : 101   elevation known for 118 (badm_values=110, site_registry=8)
input    : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_stations
output   : /vol_efthymios/NFS07/dd1136/T_and_C/input_data/gcm_meteo
precip   : block   seed 20260813

  GFDL-ESM4 historical (ECS 2.6 K): 12775 days, 101 stations
    US-Bar: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-43.4, 33.4], 'Ta_mean': 3.25, 'Pre_mbar': 981.1, 'Pr_mm_yr': 1356.8, 'Pr_max_h': 21.25, 'Rsw_max': 986.5, 'Ds_mean': 237.3, 'Ca': [338.7, 397.5]}
    US-Blk: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-51.1, 40.0], 'Ta_mean': 6.2, 'Pre_mbar': 826.5, 'Pr_mm_yr': 407.5, 'Pr_max_h': 7.7, 'Rsw_max': 991.8, 'Ds_mean': 578.3, 'Ca': [338.7, 397.5]}
    US-CPF: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-44.3, 30.5], 'Ta_mean': 0.65, 'Pre_mbar': 701.6, 'Pr_mm_yr': 418.0, 'Pr_max_h': 6.61, 'Rsw_max': 1051.1, 'Ds_mean': 412.7, 'Ca': [338.7, 397.5]}
    US-CPk: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-42.5, 33.8], 'Ta_mean': 3.0, 'Pre_mbar': 731.3, 'Pr_mm_yr': 371.3, 'Pr_max_h': 5.41, 'Rsw_max': 1046.8, 'Ds_mean': 485.7, 'Ca': [338.7, 397.5]}
    US-CRK: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-18.4, 46.3], 'Ta_mean': 19.49, 'Pre_mbar': 995.3, 'Pr_mm_yr': 1144.7, 'Pr_max_h': 16.85, 'Rsw_max': 1054.5, 'Ds_mean': 794.3, 'Ca': [338.7, 397.5]}
    US-CS2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.6, 37.4], 'Ta_mean': 7.11, 'Pre_mbar': 974.6, 'Pr_mm_yr': 796.1, 'Pr_max_h': 9.42, 'Rsw_max': 972.9, 'Ds_mean': 380.1, 'Ca': [338.7, 397.5]}
    US-CZ2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-19.7, 43.6], 'Ta_mean': 14.38, 'Pre_mbar': 883.1, 'Pr_mm_yr': 633.9, 'Pr_max_h': 19.57, 'Rsw_max': 1083.6, 'Ds_mean': 1064.3, 'Ca': [338.7, 397.5]}
    US-CZ3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-26.8, 36.6], 'Ta_mean': 7.75, 'Pre_mbar': 797.9, 'Pr_mm_yr': 676.0, 'Pr_max_h': 22.07, 'Rsw_max': 1083.7, 'Ds_mean': 730.0, 'Ca': [338.7, 397.5]}
    US-CZ4: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-30.2, 32.9], 'Ta_mean': 4.44, 'Pre_mbar': 734.8, 'Pr_mm_yr': 722.1, 'Pr_max_h': 24.68, 'Rsw_max': 1084.1, 'Ds_mean': 605.8, 'Ca': [338.7, 397.5]}
    US-ChR: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-28.7, 46.9], 'Ta_mean': 15.06, 'Pre_mbar': 979.5, 'Pr_mm_yr': 1322.4, 'Pr_max_h': 15.97, 'Rsw_max': 996.5, 'Ds_mean': 473.5, 'Ca': [338.7, 397.5]}
    US-Cst: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-22.4, 44.9], 'Ta_mean': 18.23, 'Pre_mbar': 1007.3, 'Pr_mm_yr': 1331.7, 'Pr_max_h': 22.75, 'Rsw_max': 1046.0, 'Ds_mean': 646.4, 'Ca': [338.7, 397.5]}
    US-Cwt: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-31.2, 43.8], 'Ta_mean': 12.92, 'Pre_mbar': 933.7, 'Pr_mm_yr': 1661.3, 'Pr_max_h': 17.94, 'Rsw_max': 991.6, 'Ds_mean': 414.8, 'Ca': [338.7, 397.5]}
    US-DPP: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-9.1, 49.4], 'Ta_mean': 23.27, 'Pre_mbar': 1010.5, 'Pr_mm_yr': 1261.0, 'Pr_max_h': 11.36, 'Rsw_max': 995.9, 'Ds_mean': 767.0, 'Ca': [338.7, 397.5]}
    US-Dk2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-28.4, 51.9], 'Ta_mean': 15.74, 'Pre_mbar': 993.3, 'Pr_mm_yr': 1138.0, 'Pr_max_h': 16.31, 'Rsw_max': 965.8, 'Ds_mean': 517.6, 'Ca': [338.7, 397.5]}
    US-Dk3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-28.4, 51.9], 'Ta_mean': 15.74, 'Pre_mbar': 993.9, 'Pr_mm_yr': 1138.0, 'Pr_max_h': 16.31, 'Rsw_max': 965.8, 'Ds_mean': 517.6, 'Ca': [338.7, 397.5]}
    US-Fmf: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-31.1, 37.1], 'Ta_mean': 9.37, 'Pre_mbar': 784.3, 'Pr_mm_yr': 448.0, 'Pr_max_h': 12.61, 'Rsw_max': 1086.6, 'Ds_mean': 935.8, 'Ca': [338.7, 397.5]}
    US-Fuf: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-30.2, 37.0], 'Ta_mean': 9.42, 'Pre_mbar': 782.5, 'Pr_mm_yr': 483.2, 'Pr_max_h': 14.11, 'Rsw_max': 1086.0, 'Ds_mean': 937.0, 'Ca': [338.7, 397.5]}
    US-GBT: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-44.0, 33.7], 'Ta_mean': 2.86, 'Pre_mbar': 694.1, 'Pr_mm_yr': 341.2, 'Pr_max_h': 6.09, 'Rsw_max': 1042.7, 'Ds_mean': 482.0, 'Ca': [338.7, 397.5]}
    US-GLE: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-44.0, 33.7], 'Ta_mean': 2.86, 'Pre_mbar': 693.6, 'Pr_mm_yr': 341.2, 'Pr_max_h': 6.09, 'Rsw_max': 1042.7, 'Ds_mean': 482.0, 'Ca': [338.7, 397.5]}
    US-HB2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-17.6, 41.6], 'Ta_mean': 18.98, 'Pre_mbar': 1012.7, 'Pr_mm_yr': 1274.3, 'Pr_max_h': 13.08, 'Rsw_max': 952.5, 'Ds_mean': 545.7, 'Ca': [338.7, 397.5]}
    US-HB3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-17.6, 41.6], 'Ta_mean': 18.98, 'Pre_mbar': 1012.4, 'Pr_mm_yr': 1274.3, 'Pr_max_h': 13.08, 'Rsw_max': 952.5, 'Ds_mean': 545.7, 'Ca': [338.7, 397.5]}
    US-HBK: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-41.4, 37.5], 'Ta_mean': 5.82, 'Pre_mbar': 970.1, 'Pr_mm_yr': 1207.4, 'Pr_max_h': 18.69, 'Rsw_max': 986.3, 'Ds_mean': 293.4, 'Ca': [338.7, 397.5]}
    US-Ha1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-37.6, 40.5], 'Ta_mean': 9.02, 'Pre_mbar': 973.2, 'Pr_mm_yr': 1152.7, 'Pr_max_h': 16.72, 'Rsw_max': 987.9, 'Ds_mean': 378.3, 'Ca': [338.7, 397.5]}
    US-Ha2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-37.6, 40.5], 'Ta_mean': 9.02, 'Pre_mbar': 970.9, 'Pr_mm_yr': 1152.7, 'Pr_max_h': 16.72, 'Rsw_max': 987.9, 'Ds_mean': 378.3, 'Ca': [338.7, 397.5]}
    US-Ho1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-38.6, 36.1], 'Ta_mean': 6.4, 'Pre_mbar': 1006.1, 'Pr_mm_yr': 1091.6, 'Pr_max_h': 13.49, 'Rsw_max': 982.4, 'Ds_mean': 302.2, 'Ca': [338.7, 397.5]}
    US-Ho2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-38.6, 36.1], 'Ta_mean': 6.4, 'Pre_mbar': 1005.9, 'Pr_mm_yr': 1091.6, 'Pr_max_h': 13.49, 'Rsw_max': 982.4, 'Ds_mean': 302.2, 'Ca': [338.7, 397.5]}
    US-Ho3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-38.6, 36.1], 'Ta_mean': 6.4, 'Pre_mbar': 1005.9, 'Pr_mm_yr': 1091.6, 'Pr_max_h': 13.49, 'Rsw_max': 982.4, 'Ds_mean': 302.2, 'Ca': [338.7, 397.5]}
    US-LPH: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-37.6, 40.5], 'Ta_mean': 9.02, 'Pre_mbar': 968.9, 'Pr_mm_yr': 1152.7, 'Pr_max_h': 16.72, 'Rsw_max': 987.8, 'Ds_mean': 378.3, 'Ca': [338.7, 397.5]}
    US-MEF: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.1, 35.1], 'Ta_mean': 5.3, 'Pre_mbar': 765.3, 'Pr_mm_yr': 400.1, 'Pr_max_h': 11.62, 'Rsw_max': 1071.9, 'Ds_mean': 529.3, 'Ca': [338.7, 397.5]}
    US-MMS: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-35.6, 45.8], 'Ta_mean': 12.24, 'Pre_mbar': 980.7, 'Pr_mm_yr': 1067.0, 'Pr_max_h': 10.02, 'Rsw_max': 1007.9, 'Ds_mean': 417.5, 'Ca': [338.7, 397.5]}
    US-MOz: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-36.2, 43.6], 'Ta_mean': 13.43, 'Pre_mbar': 987.2, 'Pr_mm_yr': 999.5, 'Pr_max_h': 11.77, 'Rsw_max': 1011.5, 'Ds_mean': 503.9, 'Ca': [338.7, 397.5]}
    US-MRf: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-20.9, 37.4], 'Ta_mean': 11.08, 'Pre_mbar': 982.1, 'Pr_mm_yr': 1418.0, 'Pr_max_h': 16.02, 'Rsw_max': 1028.3, 'Ds_mean': 380.3, 'Ca': [338.7, 397.5]}
    US-Me1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-35.6, 38.9], 'Ta_mean': 7.83, 'Pre_mbar': 911.1, 'Pr_mm_yr': 905.3, 'Pr_max_h': 15.07, 'Rsw_max': 1029.9, 'Ds_mean': 450.4, 'Ca': [338.7, 397.5]}
    US-Me2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-34.5, 39.9], 'Ta_mean': 8.68, 'Pre_mbar': 873.4, 'Pr_mm_yr': 781.0, 'Pr_max_h': 12.84, 'Rsw_max': 1035.1, 'Ds_mean': 491.7, 'Ca': [338.7, 397.5]}
    US-Me4: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-34.5, 39.9], 'Ta_mean': 8.68, 'Pre_mbar': 908.3, 'Pr_mm_yr': 781.0, 'Pr_max_h': 12.84, 'Rsw_max': 1034.8, 'Ds_mean': 491.7, 'Ca': [338.7, 397.5]}
    US-Me6: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-34.5, 39.9], 'Ta_mean': 8.68, 'Pre_mbar': 900.2, 'Pr_mm_yr': 781.0, 'Pr_max_h': 12.84, 'Rsw_max': 1035.9, 'Ds_mean': 491.7, 'Ca': [338.7, 397.5]}
    US-Me7: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-34.5, 39.9], 'Ta_mean': 8.68, 'Pre_mbar': 873.4, 'Pr_mm_yr': 781.0, 'Pr_max_h': 12.84, 'Rsw_max': 1035.1, 'Ds_mean': 491.7, 'Ca': [338.7, 397.5]}
    US-MtB: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-11.6, 45.3], 'Ta_mean': 17.01, 'Pre_mbar': 746.8, 'Pr_mm_yr': 367.7, 'Pr_max_h': 16.48, 'Rsw_max': 1116.2, 'Ds_mean': 1622.2, 'Ca': [338.7, 397.5]}
    US-NC2: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-16.6, 43.1], 'Ta_mean': 16.79, 'Pre_mbar': 1012.6, 'Pr_mm_yr': 1242.3, 'Pr_max_h': 14.78, 'Rsw_max': 955.5, 'Ds_mean': 510.2, 'Ca': [338.7, 397.5]}
    US-NC3: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-16.6, 43.1], 'Ta_mean': 16.79, 'Pre_mbar': 1012.6, 'Pr_mm_yr': 1242.3, 'Pr_max_h': 14.78, 'Rsw_max': 955.5, 'Ds_mean': 510.2, 'Ca': [338.7, 397.5]}
    US-NC5: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-27.2, 51.0], 'Ta_mean': 15.59, 'Pre_mbar': 998.7, 'Pr_mm_yr': 1122.6, 'Pr_max_h': 16.89, 'Rsw_max': 963.4, 'Ds_mean': 522.4, 'Ca': [338.7, 397.5]}
    US-NMj: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-49.9, 36.0], 'Ta_mean': 4.54, 'Pre_mbar': 967.0, 'Pr_mm_yr': 765.0, 'Pr_max_h': 8.86, 'Rsw_max': 948.9, 'Ds_mean': 342.3, 'Ca': [338.7, 397.5]}
    US-NR1: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-44.9, 30.8], 'Ta_mean': 0.3, 'Pre_mbar': 705.8, 'Pr_mm_yr': 431.2, 'Pr_max_h': 8.34, 'Rsw_max': 1056.7, 'Ds_mean': 395.3, 'Ca': [338.7, 397.5]}
    US-Oho: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-30.6, 40.9], 'Ta_mean': 10.31, 'Pre_mbar': 986.0, 'Pr_mm_yr': 864.4, 'Pr_max_h': 8.19, 'Rsw_max': 973.9, 'Ds_mean': 423.4, 'Ca': [338.7, 397.5]}
    US-PFL: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 959.0, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.3, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
    US-PFb: {'hours': 306600, 'calendar': '365_day', 'humidity': 'hurs', 'cal_note': None, 'years': '1980-2014', 'Ta_C': [-40.5, 36.6], 'Ta_mean': 5.09, 'Pre_mbar': 957.9, 'Pr_mm_yr': 786.6, 'Pr_max_h': 8.79, 'Rsw_max': 960.1, 'Ds_mean': 339.4, 'Ca': [338.7, 397.5]}
