station,in_gcm,mod_param,arm_is_era5,soil_depth_mm,ms,sand_pct,clay_pct,org_pct,hc_m,zatm_m,zr95_mm,sl_h,ase,kbot,lma_g_m2,kbot_free,forcing_mat,mat_Zbas,zbas_src,zr95_fetched_mm,zr95_capped,zr95_cap_basis,tower_used,tower_used_annual,tower_used_monthly,tower_n_ET_annual,tower_n_GPP_annual,tower_n_H_annual,tower_n_QE_annual,tower_n_ET_monthly,tower_n_GPP_monthly,tower_n_H_monthly,tower_n_QE_monthly
US-Bar,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-Bar/era5_land/fixed_lma/MOD_PARAM_US_Bar.m,True,2000.0,17,80.68739999999998,2.0506,0.8171249999999998,19.0,24.5,1100.0,0.0264994,1.0,,75.4734069450629,True,Meteo_US_Bar_1985_2020.mat,272.0,badm_values,1100.0,False,fetched vs column,True,True,True,15.0,15.0,16.0,15.0,199.0,199.0,203.0,199.0
US-Blk,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-Blk/era5_land/fixed_lma/MOD_PARAM_US_Blk.m,True,1730.0,16,26.184971098265898,26.88439306358382,0.8540462427745665,10.0,24.0,900.0,0.0170818,0.0,0.01,117.08367970588579,False,Meteo_US_Blk_1985_2020.mat,1718.0,badm_values,900.0,False,fetched vs column,False,False,False,,,,,,,,
US-CPF,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CPF/era5_land/fixed_lma/MOD_PARAM_US_CPF.m,True,1570.0,16,79.07006369426752,6.401273885350318,0.2229299363057325,14.0,4.3,1100.0,0.0157918,0.0,,126.6480071936068,True,Meteo_US_CPF_1985_2020.mat,3100.0,badm_values,1100.0,False,fetched vs column,False,False,False,,,,,,,,
US-CPk,False,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CPk/era5_land/fixed_lma/MOD_PARAM_US_CPk.m,True,530.0,10,68.0,12.000000000000002,0.7216981132075472,10.0,22.0,530.0,0.0135376,0.0,0.01,147.73667415199148,False,Meteo_US_CPk_1985_2020.mat,2750.0,badm_values,1000.0,True,fetched vs column,False,False,False,,,,,,,,
US-CRK,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CRK/era5_land/fixed_lma/MOD_PARAM_US_CRK.m,True,2030.0,18,31.149261083743845,36.896551724137936,0.5844827586206895,18.0,44.0,1500.0,0.0138897,0.0,,143.99159089109196,True,Meteo_US_CRK_1985_2020.mat,151.0,badm_values,1500.0,False,fetched vs column,False,False,False,,,,,,,,
US-CS2,False,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CS2/era5_land/fixed_lma/MOD_PARAM_US_CS2.m,True,2000.0,17,85.05,3.5000000000000004,0.4875,17.0,31.0,1000.0,0.0169261,0.0,,118.16071038219083,True,Meteo_US_CS2_1985_2020.mat,328.0,badm_values,1000.0,False,fetched vs column,True,False,True,1.0,1.0,1.0,1.0,25.0,25.0,25.0,25.0
US-CZ2,False,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CZ2/era5_land/fixed_lma/MOD_PARAM_US_CZ2.m,True,1680.0,16,57.54285714285714,27.053571428571427,0.96875,10.0,22.0,1680.0,0.015014,0.0,0.01,133.20900492873318,False,Meteo_US_CZ2_1985_2020.mat,1160.0,badm_values,2500.0,True,fetched vs column,False,False,False,,,,,,,,
US-CZ3,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CZ3/era5_land/fixed_lma/MOD_PARAM_US_CZ3.m,True,970.0,13,70.28865979381442,9.70103092783505,1.2654639175257731,18.0,30.0,970.0,0.0136345,0.0,0.01,146.68671385089294,False,Meteo_US_CZ3_1985_2020.mat,2015.0,badm_values,2500.0,True,fetched vs column,False,False,False,,,,,,,,
US-CZ4,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-CZ4/era5_land/fixed_lma/MOD_PARAM_US_CZ4.m,True,1700.0,16,84.34705882352942,3.3529411764705883,0.8161764705882353,15.0,27.0,1700.0,0.0123093,0.0,,162.47877620985759,True,Meteo_US_CZ4_1985_2020.mat,2710.0,badm_values,1700.0,False,fetched vs column,False,False,False,,,,,,,,
US-ChR,True,/vol_efthymios/NFS07/dd1136/T_and_C/model_run/US-ChR/era5_land/fixed_lma/MOD_PARAM_US_ChR.m,True,1780.0,17,18.011235955056183,51.17977528089887,0.3202247191011236,26.0,43.0,1200.0,0.0187718,1.0,,106.54279291277341,True,Meteo_US_ChR_1985_2020.mat,286.0,badm_values,1200.0,False,fetched vs column,True,True,True,12.0,12.0,13.0,12.0,159.0,150.0,167.0,159.0
